Date,Platform,CTR (%),Impressions,Likes,Shares,Comments,Sales Revenue ($),Conversion Rate (%),Ad Spend ($),ROI (%),Positive Sentiment (%),Neutral Sentiment (%),Negative Sentiment (%)
2022-06-07,Google Ads,1.96,215370,4960,1826,2390,54638.82,6.46,19106.55,185.97,52,33,15
2022-06-07,Facebook Ads,0.79,473104,5461,2569,2585,21144.25,10.27,48551.43,-56.45,59,42,-1
2022-06-07,Instagram Ads,2.71,25510,4907,1009,1190,7331.35,14.82,18549.49,-60.48,58,31,11
2022-06-07,Twitter Ads,1.6,179213,2720,2753,1117,80096.4,0.62,18776.99,326.57,49,46,5
2022-06-07,LinkedIn Ads,3.07,451354,1002,2184,2542,8900.61,6.05,39207.79,-77.3,59,36,5
2022-06-07,TikTok Ads,3.84,124123,1052,1410,2889,72992.76,8.74,16169.0,351.44,52,41,7
2022-06-08,Google Ads,0.95,443482,2019,3481,1751,54884.32,6.4,12552.06,337.25,55,28,17
2022-06-08,Facebook Ads,2.59,348515,4281,131,226,61189.39,11.78,15766.0,288.11,66,42,-8
2022-06-08,Instagram Ads,4.51,198728,5049,4199,1499,83510.96,10.5,27873.41,199.61,62,49,-11
2022-06-08,Twitter Ads,2.98,458481,2022,2161,687,64279.52,9.07,39147.97,64.2,40,28,32
2022-06-08,LinkedIn Ads,1.28,146561,251,4239,2938,17404.16,7.37,12257.45,41.99,41,48,11
2022-06-08,TikTok Ads,4.3,63152,686,1345,2115,38625.93,12.59,38403.56,0.58,47,36,17
2022-06-09,Google Ads,3.42,372308,2594,1854,2913,70256.48,4.73,14259.9,392.69,66,27,7
2022-06-09,Facebook Ads,2.95,448946,116,1093,1139,28456.21,9.86,27757.86,2.52,59,37,4
2022-06-09,Instagram Ads,2.05,5660,2652,3580,2260,52068.71,8.39,21534.98,141.79,50,21,29
2022-06-09,Twitter Ads,0.93,267202,2012,1776,744,45885.79,9.12,34645.04,32.45,68,23,9
2022-06-09,LinkedIn Ads,3.87,25009,5030,2386,310,6609.18,2.83,8464.06,-21.91,57,49,-6
2022-06-09,TikTok Ads,1.64,43465,122,4535,2451,94044.47,3.8,40652.17,131.34,44,29,27
2022-06-10,Google Ads,2.8,219391,282,4956,1112,24537.2,11.1,26515.7,-7.46,40,23,37
2022-06-10,Facebook Ads,0.62,407132,6875,3087,1607,66548.96,0.81,38282.68,73.84,46,42,12
2022-06-10,Instagram Ads,4.04,16184,3156,53,1169,31269.57,4.6,21000.42,48.9,60,49,-9
2022-06-10,Twitter Ads,1.2,408326,6796,1677,2032,6978.82,2.47,46728.15,-85.07,67,38,-5
2022-06-10,LinkedIn Ads,1.32,67688,6439,507,871,53548.22,2.42,15456.58,246.44,46,21,33
2022-06-10,TikTok Ads,2.76,422289,5112,1852,2646,39009.28,0.88,11948.54,226.48,42,44,14
2022-06-11,Google Ads,4.73,349438,5292,287,2576,17160.83,12.55,19351.47,-11.32,47,26,27
2022-06-11,Facebook Ads,4.18,302327,9878,392,101,19808.77,2.09,48243.23,-58.94,51,37,12
2022-06-11,Instagram Ads,3.68,100077,7073,2673,2529,61112.58,13.22,6530.09,835.86,49,27,24
2022-06-11,Twitter Ads,4.77,47562,6296,4964,1799,10755.57,9.45,15744.87,-31.69,69,41,-10
2022-06-11,LinkedIn Ads,2.54,38907,9860,322,1297,80131.84,6.15,33146.11,141.75,43,38,19
2022-06-11,TikTok Ads,1.63,206192,3370,54,1095,21502.88,11.34,8373.14,156.81,68,28,4
2022-06-12,Google Ads,0.55,125357,6045,1937,2125,73724.81,8.45,42475.63,73.57,53,38,9
2022-06-12,Facebook Ads,3.94,362918,1947,2804,2181,89601.57,13.8,29344.58,205.34,63,31,6
2022-06-12,Instagram Ads,1.1,46355,1449,3689,480,85112.02,2.5,6621.51,1185.39,47,45,8
2022-06-12,Twitter Ads,3.66,387512,9013,890,2289,13725.85,2.64,40210.68,-65.87,55,20,25
2022-06-12,LinkedIn Ads,3.05,347597,2177,519,1533,69708.92,8.1,44726.07,55.86,58,42,0
2022-06-12,TikTok Ads,2.83,64243,3681,1186,1450,59629.91,1.08,23139.41,157.7,53,36,11
2022-06-13,Google Ads,2.13,76099,8055,2409,2381,82865.39,1.81,36800.32,125.18,56,47,-3
2022-06-13,Facebook Ads,1.92,157598,9358,1422,2486,77780.15,10.78,33783.89,130.23,60,33,7
2022-06-13,Instagram Ads,2.87,207793,8207,1488,163,38583.88,12.94,13757.55,180.46,41,32,27
2022-06-13,Twitter Ads,1.47,161909,1396,4111,2531,15806.15,1.79,24482.09,-35.44,41,27,32
2022-06-13,LinkedIn Ads,0.62,326135,4381,1580,509,37217.69,9.57,20398.94,82.45,63,22,15
2022-06-13,TikTok Ads,4.93,323614,7953,202,262,86664.58,2.49,10995.37,688.19,68,35,-3
2022-06-14,Google Ads,0.86,351002,5940,3269,781,20949.78,13.33,48423.62,-56.74,47,21,32
2022-06-14,Facebook Ads,2.44,481555,6967,459,2455,59594.56,12.88,11067.29,438.47,43,23,34
2022-06-14,Instagram Ads,3.41,357711,5173,693,257,69923.86,13.87,33760.6,107.12,46,28,26
2022-06-14,Twitter Ads,1.29,90860,2536,3061,544,75182.35,4.56,22146.13,239.48,45,31,24
2022-06-14,LinkedIn Ads,2.73,304125,9774,71,1782,27257.02,2.73,46113.93,-40.89,42,21,37
2022-06-14,TikTok Ads,4.94,20642,1362,3632,1882,83440.39,3.0,15477.48,439.11,40,28,32
2022-06-15,Google Ads,2.09,141332,574,1825,993,83659.12,8.16,3734.9,2139.93,57,46,-3
2022-06-15,Facebook Ads,2.84,153726,7976,2453,219,13980.22,7.24,7810.9,78.98,59,44,-3
2022-06-15,Instagram Ads,0.52,101634,7435,4865,1577,3042.13,8.58,12181.61,-75.03,50,21,29
2022-06-15,Twitter Ads,0.7,282836,7969,3268,1904,36466.62,7.82,35378.95,3.07,48,27,25
2022-06-15,LinkedIn Ads,3.22,329519,4002,392,2066,43132.49,3.78,26337.41,63.77,45,45,10
2022-06-15,TikTok Ads,0.53,29358,635,4633,2701,51629.46,10.28,23040.49,124.08,62,29,9
2022-06-16,Google Ads,2.87,175005,6634,1474,925,26270.04,10.08,39166.04,-32.93,55,37,8
2022-06-16,Facebook Ads,4.8,394551,5587,2653,888,22392.63,7.9,42582.25,-47.41,69,26,5
2022-06-16,Instagram Ads,1.57,354723,5183,535,1961,43085.65,13.13,30139.28,42.96,66,38,-4
2022-06-16,Twitter Ads,1.23,434731,9137,1830,2150,86178.17,2.55,24680.77,249.17,40,37,23
2022-06-16,LinkedIn Ads,3.54,85353,7800,4118,536,1807.62,3.83,42036.29,-95.7,49,21,30
2022-06-16,TikTok Ads,4.55,373177,9465,2371,573,47128.98,2.1,4203.78,1021.11,56,45,-1
2022-06-17,Google Ads,0.97,404324,4898,1347,2065,4554.36,11.27,49786.93,-90.85,43,36,21
2022-06-17,Facebook Ads,3.37,389279,3466,1371,2347,35837.51,1.32,15355.07,133.39,58,47,-5
2022-06-17,Instagram Ads,1.79,307530,2179,3063,575,18426.9,1.67,45177.71,-59.21,57,25,18
2022-06-17,Twitter Ads,0.91,264607,8255,3707,68,47871.52,5.5,49338.81,-2.97,66,36,-2
2022-06-17,LinkedIn Ads,3.33,472064,8451,4527,78,69530.53,13.78,25245.24,175.42,43,30,27
2022-06-17,TikTok Ads,2.63,293461,6194,4707,744,80356.52,11.14,5848.7,1273.92,46,37,17
2022-06-18,Google Ads,3.22,326072,1416,4806,2184,3278.23,0.57,18430.4,-82.21,57,20,23
2022-06-18,Facebook Ads,3.2,133949,4094,2389,264,86002.51,5.37,30029.68,186.39,52,36,12
2022-06-18,Instagram Ads,2.46,247852,4924,4137,521,78622.18,12.59,26096.26,201.28,53,22,25
2022-06-18,Twitter Ads,4.68,461894,3287,3689,2547,9430.78,13.38,26075.44,-63.83,65,21,14
2022-06-18,LinkedIn Ads,3.08,268893,4292,4405,1344,88164.23,8.72,43093.5,104.59,64,44,-8
2022-06-18,TikTok Ads,4.17,380751,5313,3721,1793,88654.35,3.05,28123.11,215.24,59,33,8
2022-06-19,Google Ads,4.37,458344,8483,1224,2914,61762.72,7.57,10037.65,515.31,41,31,28
2022-06-19,Facebook Ads,4.93,434235,8842,1082,1393,56853.32,13.01,16456.79,245.47,62,46,-8
2022-06-19,Instagram Ads,1.87,58840,9295,1542,2267,49539.97,12.07,43233.72,14.59,63,44,-7
2022-06-19,Twitter Ads,2.93,235756,8810,3078,2859,31384.31,3.52,4641.21,576.21,63,38,-1
2022-06-19,LinkedIn Ads,2.32,348503,3171,3957,1099,74926.09,8.33,47658.79,57.21,59,26,15
2022-06-19,TikTok Ads,1.91,492350,9645,4326,549,20495.67,0.95,43319.85,-52.69,60,33,7
2022-06-20,Google Ads,2.61,224969,8406,246,712,34878.2,3.9,38216.23,-8.73,68,44,-12
2022-06-20,Facebook Ads,3.27,66604,4133,4951,2948,10367.53,8.45,39146.46,-73.52,49,38,13
2022-06-20,Instagram Ads,1.21,494229,1267,1367,775,58558.63,5.08,48239.52,21.39,68,46,-14
2022-06-20,Twitter Ads,2.65,174065,1094,4765,1452,68241.78,14.54,28387.89,140.39,42,48,10
2022-06-20,LinkedIn Ads,1.37,452215,8562,3847,2598,19123.6,13.54,22466.37,-14.88,69,39,-8
2022-06-20,TikTok Ads,0.52,244726,4737,1779,522,74853.67,12.22,27297.46,174.21,45,48,7
2022-06-21,Google Ads,4.58,88965,9785,1200,2094,39557.41,8.62,31627.73,25.07,67,20,13
2022-06-21,Facebook Ads,4.2,368021,7063,4351,2219,22845.25,2.91,19747.27,15.69,55,38,7
2022-06-21,Instagram Ads,2.28,379050,2144,4847,2693,39425.47,11.97,1539.74,2460.53,46,40,14
2022-06-21,Twitter Ads,4.69,372073,6392,2971,1510,74366.72,6.23,37103.79,100.43,49,30,21
2022-06-21,LinkedIn Ads,4.12,471756,5383,1407,2015,58590.87,4.86,22280.32,162.97,46,46,8
2022-06-21,TikTok Ads,1.53,296859,6718,4188,1803,27062.96,5.31,40588.12,-33.32,46,25,29
2022-06-22,Google Ads,1.15,216366,2415,3839,1542,59599.9,7.94,39624.75,50.41,48,30,22
2022-06-22,Facebook Ads,4.03,364859,4904,1814,645,5116.74,4.87,16417.35,-68.83,69,41,-10
2022-06-22,Instagram Ads,4.6,127939,4727,2925,281,52375.49,2.28,45892.86,14.13,49,23,28
2022-06-22,Twitter Ads,1.87,480632,1400,1537,2189,37952.05,12.97,21549.52,76.12,68,26,6
2022-06-22,LinkedIn Ads,2.72,482098,589,2959,799,1953.21,6.2,27142.76,-92.8,62,35,3
2022-06-22,TikTok Ads,2.25,48018,9427,2059,1420,89831.44,2.07,9989.28,799.28,66,39,-5
2022-06-23,Google Ads,3.51,349794,8384,920,2341,99239.98,8.72,23005.12,331.38,61,46,-7
2022-06-23,Facebook Ads,1.69,483862,3146,3662,670,54116.21,4.94,48285.4,12.08,62,49,-11
2022-06-23,Instagram Ads,3.41,247147,4501,4008,220,14928.65,2.02,7278.56,105.1,44,35,21
2022-06-23,Twitter Ads,4.82,234546,1365,1272,1169,87003.84,11.0,34058.57,155.45,50,32,18
2022-06-23,LinkedIn Ads,1.0,409180,3950,4722,1228,44874.44,7.47,25899.08,73.27,57,31,12
2022-06-23,TikTok Ads,2.55,102106,4972,2160,2889,44640.33,2.24,3479.61,1182.91,62,27,11
2022-06-24,Google Ads,1.5,13899,927,1982,2558,49441.99,9.84,39687.96,24.58,68,47,-15
2022-06-24,Facebook Ads,3.77,484400,186,2525,1225,76124.24,1.63,5486.69,1287.43,48,35,17
2022-06-24,Instagram Ads,1.68,468385,4960,449,908,31683.24,12.5,7320.37,332.81,47,27,26
2022-06-24,Twitter Ads,4.54,52100,6146,3095,588,14955.5,13.01,12251.24,22.07,61,48,-9
2022-06-24,LinkedIn Ads,3.98,72168,6780,2279,615,88509.35,2.16,16377.12,440.45,54,47,-1
2022-06-24,TikTok Ads,2.92,315623,3227,202,1390,73685.3,0.56,13727.37,436.78,68,31,1
2022-06-25,Google Ads,2.02,85286,2855,4877,734,99453.07,6.95,3751.28,2551.18,58,47,-5
2022-06-25,Facebook Ads,2.37,132134,6405,1237,701,91482.4,8.16,49282.6,85.63,45,38,17
2022-06-25,Instagram Ads,0.91,94957,9041,4134,694,14072.64,13.82,41288.81,-65.92,46,37,17
2022-06-25,Twitter Ads,2.72,420271,9361,3688,1616,32352.89,8.53,25018.32,29.32,57,49,-6
2022-06-25,LinkedIn Ads,4.3,60158,3693,3996,1029,36281.25,11.1,27833.92,30.35,59,25,16
2022-06-25,TikTok Ads,4.7,55413,6069,4831,2405,12783.6,6.73,35304.63,-63.79,56,30,14
2022-06-26,Google Ads,1.66,486268,4077,779,1831,23282.65,14.97,6125.56,280.09,41,25,34
2022-06-26,Facebook Ads,4.82,140000,9519,4738,2498,75788.37,2.3,44773.21,69.27,45,45,10
2022-06-26,Instagram Ads,2.46,9048,1508,3989,1948,84100.57,5.84,34966.32,140.52,49,36,15
2022-06-26,Twitter Ads,3.56,192559,8972,3722,2544,34111.27,6.07,1503.61,2168.62,62,34,4
2022-06-26,LinkedIn Ads,4.59,64088,928,343,1731,41904.76,4.8,41344.81,1.35,62,44,-6
2022-06-26,TikTok Ads,4.39,112485,1443,1200,1621,60366.02,0.79,19070.57,216.54,57,28,15
2022-06-27,Google Ads,4.65,491419,4336,1517,1270,90488.47,2.91,13911.46,550.46,67,45,-12
2022-06-27,Facebook Ads,2.61,302360,6015,4858,217,44188.32,8.14,45821.71,-3.56,56,20,24
2022-06-27,Instagram Ads,4.1,306358,2502,4128,1943,35008.12,2.5,17848.11,96.14,65,31,4
2022-06-27,Twitter Ads,2.86,316948,725,2234,1749,27092.72,13.98,10925.15,147.98,53,33,14
2022-06-27,LinkedIn Ads,4.94,400082,9497,640,352,59396.01,4.29,36641.73,62.1,42,26,32
2022-06-27,TikTok Ads,3.54,297120,9269,2775,1667,38072.87,1.19,18931.91,101.1,50,39,11
2022-06-28,Google Ads,4.95,280761,330,4967,631,99740.64,7.67,48029.39,107.67,50,38,12
2022-06-28,Facebook Ads,2.07,370180,5937,869,2519,77507.4,5.62,2435.1,3082.92,61,23,16
2022-06-28,Instagram Ads,3.0,228249,8741,2163,1577,2887.16,7.55,29124.77,-90.09,51,25,24
2022-06-28,Twitter Ads,0.9,472187,2467,1110,2473,69638.41,10.29,42290.69,64.67,43,24,33
2022-06-28,LinkedIn Ads,2.81,345920,9063,2251,2222,21341.05,4.66,27988.31,-23.75,52,46,2
2022-06-28,TikTok Ads,2.66,266439,4994,3407,1736,54658.26,2.8,39404.87,38.71,55,24,21
2022-06-29,Google Ads,2.56,218887,8770,1080,2312,14575.97,5.82,4014.53,263.08,45,36,19
2022-06-29,Facebook Ads,3.76,221075,5840,4157,68,36051.46,1.95,16253.31,121.81,67,30,3
2022-06-29,Instagram Ads,4.56,186536,5419,107,2272,2862.62,11.84,36589.34,-92.18,45,36,19
2022-06-29,Twitter Ads,1.69,47298,4546,4372,2699,34260.83,14.17,28720.41,19.29,44,42,14
2022-06-29,LinkedIn Ads,2.08,311295,9213,1316,650,84012.27,3.54,26049.61,222.51,59,49,-8
2022-06-29,TikTok Ads,3.58,296620,7305,2853,2283,10077.4,8.38,2481.45,306.11,43,47,10
2022-06-30,Google Ads,2.0,227670,2283,1366,274,22141.3,4.8,45314.39,-51.14,56,25,19
2022-06-30,Facebook Ads,4.43,89587,8480,929,1233,26031.71,3.17,20804.66,25.12,64,24,12
2022-06-30,Instagram Ads,1.91,26147,431,3185,2847,59264.26,14.22,7410.44,699.74,69,30,1
2022-06-30,Twitter Ads,2.81,9865,9048,3827,114,79819.45,11.87,4554.64,1652.49,47,38,15
2022-06-30,LinkedIn Ads,1.02,408840,5810,3941,1616,90889.37,13.16,35589.41,155.38,45,34,21
2022-06-30,TikTok Ads,1.07,244059,1587,2693,617,41251.69,2.4,36643.17,12.58,49,30,21
2022-07-01,Google Ads,1.48,284768,2882,2708,2961,73271.47,7.8,22886.52,220.15,56,43,1
2022-07-01,Facebook Ads,1.18,491371,6862,580,327,53427.74,14.9,8439.57,533.06,50,31,19
2022-07-01,Instagram Ads,4.65,142354,9372,1013,2637,1066.46,6.47,12618.33,-91.55,55,41,4
2022-07-01,Twitter Ads,3.61,87285,7593,3923,2577,52720.46,13.49,9552.09,451.93,65,32,3
2022-07-01,LinkedIn Ads,4.82,395397,4654,724,2994,90548.34,11.51,26279.31,244.56,62,40,-2
2022-07-01,TikTok Ads,4.19,28039,2947,4759,272,14256.46,3.72,47419.19,-69.94,61,30,9
2022-07-02,Google Ads,1.2,209662,5142,274,921,18263.17,5.84,37566.33,-51.38,40,31,29
2022-07-02,Facebook Ads,2.3,461794,9365,3208,2518,21139.96,5.45,9657.07,118.91,61,38,1
2022-07-02,Instagram Ads,3.7,337262,8898,4682,2151,42322.53,14.74,35786.14,18.27,60,28,12
2022-07-02,Twitter Ads,1.75,286492,8327,4722,2042,22322.13,11.58,42547.68,-47.54,66,21,13
2022-07-02,LinkedIn Ads,3.46,56035,9288,625,1412,95930.6,6.68,23990.21,299.87,62,35,3
2022-07-02,TikTok Ads,0.59,128599,355,819,436,79012.76,4.42,10458.12,655.52,49,49,2
2022-07-03,Google Ads,4.87,36476,2812,773,1752,67260.03,10.76,26649.31,152.39,61,28,11
2022-07-03,Facebook Ads,3.95,485159,6745,4154,1240,68600.09,2.11,9922.44,591.36,47,43,10
2022-07-03,Instagram Ads,0.78,186384,6473,3945,1990,14552.75,9.32,49970.92,-70.88,59,39,2
2022-07-03,Twitter Ads,0.52,460950,3139,1623,416,81236.93,7.03,5635.98,1341.4,42,34,24
2022-07-03,LinkedIn Ads,0.52,18734,3163,3553,104,49885.85,3.04,37901.5,31.62,54,35,11
2022-07-03,TikTok Ads,3.46,394693,3593,2483,2766,26732.13,9.56,10125.41,164.01,47,42,11
2022-07-04,Google Ads,1.28,475880,7401,2609,1223,45104.15,4.3,32304.7,39.62,67,24,9
2022-07-04,Facebook Ads,3.47,224630,2238,3832,1634,94308.14,0.61,10958.86,760.57,40,46,14
2022-07-04,Instagram Ads,4.35,104243,3573,3861,2702,63190.95,10.69,37922.37,66.63,45,41,14
2022-07-04,Twitter Ads,3.96,229004,4830,4619,220,19290.85,12.96,11084.07,74.04,52,38,10
2022-07-04,LinkedIn Ads,4.42,133349,2190,3861,2124,66973.18,4.71,37454.1,78.81,40,21,39
2022-07-04,TikTok Ads,0.54,72596,6314,4110,877,90853.67,4.57,3378.89,2588.86,43,22,35
2022-07-05,Google Ads,2.38,414972,3494,4992,1508,52979.46,7.09,7076.43,648.67,65,39,-4
2022-07-05,Facebook Ads,3.81,449172,6264,4121,940,59909.51,12.61,21616.84,177.14,57,41,2
2022-07-05,Instagram Ads,3.02,395371,6856,1006,2601,49613.49,13.27,31405.86,57.98,50,46,4
2022-07-05,Twitter Ads,2.91,81222,2395,364,319,15440.29,2.19,4232.58,264.8,56,45,-1
2022-07-05,LinkedIn Ads,2.67,117692,8477,3848,2248,20825.91,8.61,30023.97,-30.64,55,47,-2
2022-07-05,TikTok Ads,3.06,295439,7871,1156,1314,98749.01,8.29,20468.47,382.44,43,32,25
2022-07-06,Google Ads,1.74,29883,1427,1497,2452,11803.67,8.51,5096.28,131.61,45,42,13
2022-07-06,Facebook Ads,3.78,468557,2747,2598,1754,75770.8,6.64,29804.69,154.22,45,27,28
2022-07-06,Instagram Ads,4.37,284995,6955,213,1249,85850.8,2.07,19424.27,341.98,67,20,13
2022-07-06,Twitter Ads,4.72,485873,942,1746,1243,11613.59,11.29,4622.42,151.24,53,42,5
2022-07-06,LinkedIn Ads,2.1,302536,4282,4368,127,94267.15,4.69,21551.46,337.4,41,39,20
2022-07-06,TikTok Ads,3.49,307499,4256,1030,728,81317.07,6.92,48619.4,67.25,54,36,10
2022-07-07,Google Ads,1.71,153231,3892,2876,2166,10392.14,2.27,33722.18,-69.18,57,29,14
2022-07-07,Facebook Ads,4.89,312808,8517,3040,659,68829.25,6.75,29022.53,137.16,65,31,4
2022-07-07,Instagram Ads,0.75,78211,1215,1128,1519,9968.35,7.53,19730.41,-49.48,49,42,9
2022-07-07,Twitter Ads,1.38,475705,3343,1557,2617,13990.87,4.63,25588.99,-45.32,45,27,28
2022-07-07,LinkedIn Ads,4.58,126414,612,1320,636,13846.91,5.44,45619.31,-69.65,69,38,-7
2022-07-07,TikTok Ads,3.5,114700,2660,4803,1749,79631.5,12.1,5317.59,1397.51,42,34,24
2022-07-08,Google Ads,1.17,264129,6845,3728,1025,6762.29,14.89,29611.75,-77.16,56,31,13
2022-07-08,Facebook Ads,4.28,7990,1256,3579,2933,49803.62,1.67,8180.41,508.82,53,30,17
2022-07-08,Instagram Ads,0.62,27858,926,4146,46,86218.27,8.62,31785.43,171.25,61,43,-4
2022-07-08,Twitter Ads,4.89,204340,1743,1301,475,60249.18,2.97,30858.77,95.24,61,22,17
2022-07-08,LinkedIn Ads,1.22,350086,3698,3487,431,83625.77,1.66,39565.03,111.36,64,36,0
2022-07-08,TikTok Ads,3.21,415429,6083,3599,912,85515.19,2.35,20822.96,310.68,50,44,6
2022-07-09,Google Ads,1.25,408252,1604,3334,880,40951.2,1.78,29298.25,39.77,40,32,28
2022-07-09,Facebook Ads,3.92,379779,9999,3184,2370,41822.61,12.23,16685.43,150.65,55,24,21
2022-07-09,Instagram Ads,2.4,180486,2600,527,2320,27385.06,11.09,44888.34,-38.99,53,31,16
2022-07-09,Twitter Ads,1.09,48827,7870,2796,1347,83994.03,3.67,35293.72,137.99,53,30,17
2022-07-09,LinkedIn Ads,1.53,81121,2771,2865,2465,73908.71,4.09,15661.28,371.92,53,20,27
2022-07-09,TikTok Ads,3.13,496015,2855,406,2856,69365.62,8.78,47959.92,44.63,68,41,-9
2022-07-10,Google Ads,0.57,295061,9074,509,1606,99764.25,9.96,2006.02,4873.24,64,39,-3
2022-07-10,Facebook Ads,1.95,453006,597,4722,2282,45485.75,1.14,49259.15,-7.66,57,45,-2
2022-07-10,Instagram Ads,0.71,181152,3697,3143,2611,71875.72,8.99,11800.86,509.07,40,38,22
2022-07-10,Twitter Ads,3.01,292957,5978,4989,2549,75126.01,4.68,3072.97,2344.74,60,45,-5
2022-07-10,LinkedIn Ads,0.79,475311,696,2573,1815,10141.77,1.85,5813.64,74.45,55,41,4
2022-07-10,TikTok Ads,3.28,334830,3155,746,974,38779.2,12.3,19635.72,97.49,64,45,-9
2022-07-11,Google Ads,3.69,72429,6078,1097,2813,51342.05,9.65,21278.01,141.29,69,32,-1
2022-07-11,Facebook Ads,2.77,394371,5582,3661,1133,15274.64,7.45,42100.68,-63.72,63,37,0
2022-07-11,Instagram Ads,2.1,65240,9864,158,1037,90025.55,1.76,34911.77,157.87,42,24,34
2022-07-11,Twitter Ads,4.55,465581,6403,4604,2444,36930.97,1.76,27812.76,32.78,61,38,1
2022-07-11,LinkedIn Ads,0.53,298052,9595,1012,2985,31126.08,4.39,9954.59,212.68,67,46,-13
2022-07-11,TikTok Ads,4.05,410404,3058,1171,2874,61995.39,8.25,14279.04,334.17,51,22,27
2022-07-12,Google Ads,3.2,278327,4525,2061,948,9468.17,11.33,37432.54,-74.71,66,20,14
2022-07-12,Facebook Ads,2.86,240932,2755,4686,2387,49437.22,10.58,29361.52,68.37,44,32,24
2022-07-12,Instagram Ads,1.21,337527,8941,1386,1041,88413.97,4.59,3247.06,2622.89,68,28,4
2022-07-12,Twitter Ads,1.55,62759,7721,542,2934,41211.23,12.99,28438.03,44.92,66,48,-14
2022-07-12,LinkedIn Ads,0.92,265325,7554,3831,1574,94807.01,6.03,44047.32,115.24,65,44,-9
2022-07-12,TikTok Ads,3.41,456772,2461,1670,1818,50508.71,8.62,39720.58,27.16,59,33,8
2022-07-13,Google Ads,4.82,5043,7253,2588,1766,98816.88,12.84,33629.19,193.84,52,41,7
2022-07-13,Facebook Ads,4.78,350914,4983,1880,796,9361.34,9.02,29645.01,-68.42,60,34,6
2022-07-13,Instagram Ads,4.24,101882,7033,1770,2465,14256.51,14.69,17022.49,-16.25,45,43,12
2022-07-13,Twitter Ads,0.86,212700,8676,511,978,14908.05,7.1,16190.7,-7.92,61,20,19
2022-07-13,LinkedIn Ads,1.94,40136,7161,2982,2076,88166.62,14.46,40239.0,119.11,50,36,14
2022-07-13,TikTok Ads,3.21,247648,3622,4417,2007,14838.5,1.2,6097.56,143.35,53,37,10
2022-07-14,Google Ads,3.39,469386,3259,1347,567,37588.61,4.58,29625.19,26.88,60,24,16
2022-07-14,Facebook Ads,1.67,115460,4760,909,2199,2529.84,10.86,19694.24,-87.15,44,48,8
2022-07-14,Instagram Ads,4.55,422146,391,378,2443,53751.39,1.92,15739.5,241.51,40,47,13
2022-07-14,Twitter Ads,0.55,168848,6539,2770,2540,75361.5,11.59,9709.73,676.14,48,46,6
2022-07-14,LinkedIn Ads,3.79,476131,6762,3366,636,28269.91,1.96,24436.24,15.69,48,36,16
2022-07-14,TikTok Ads,3.36,453556,2584,808,989,29129.03,13.03,32902.33,-11.47,40,42,18
2022-07-15,Google Ads,0.55,498531,5823,4140,2200,34596.09,1.03,31022.74,11.52,53,40,7
2022-07-15,Facebook Ads,1.68,429450,4232,353,1312,2091.27,4.57,27474.52,-92.39,51,39,10
2022-07-15,Instagram Ads,3.52,474863,5292,2544,2667,54283.02,3.22,35576.07,52.58,63,32,5
2022-07-15,Twitter Ads,3.2,230588,7426,333,2056,3332.65,12.27,38239.33,-91.28,66,22,12
2022-07-15,LinkedIn Ads,1.07,200783,6392,189,269,55834.54,7.67,28165.84,98.23,56,36,8
2022-07-15,TikTok Ads,0.85,190343,9102,1311,220,85896.82,5.56,49626.93,73.09,49,30,21
2022-07-16,Google Ads,4.81,387961,5067,2667,2133,18149.1,7.6,14550.39,24.73,49,46,5
2022-07-16,Facebook Ads,3.86,371477,5429,749,1638,55200.15,0.91,25537.13,116.16,40,46,14
2022-07-16,Instagram Ads,3.89,220809,1583,4066,1418,11036.8,4.25,12771.28,-13.58,69,34,-3
2022-07-16,Twitter Ads,2.76,68003,1240,1122,410,69109.95,6.51,46668.6,48.09,53,23,24
2022-07-16,LinkedIn Ads,3.57,235987,5205,3839,353,88703.93,13.48,6963.15,1173.91,52,27,21
2022-07-16,TikTok Ads,4.86,462846,7516,589,840,23569.51,2.49,10218.58,130.65,54,30,16
2022-07-17,Google Ads,1.97,294048,4049,1298,1595,80967.24,1.48,1816.18,4358.11,60,24,16
2022-07-17,Facebook Ads,3.06,432893,4388,269,225,53016.46,8.0,27620.97,91.94,51,40,9
2022-07-17,Instagram Ads,3.74,340962,2177,4412,2811,46960.6,6.56,42942.74,9.36,42,20,38
2022-07-17,Twitter Ads,1.34,465965,2269,3199,2656,99556.6,13.61,30040.21,231.41,58,28,14
2022-07-17,LinkedIn Ads,4.5,397251,8087,4285,2098,51551.07,8.92,46388.85,11.13,53,36,11
2022-07-17,TikTok Ads,1.83,385012,2204,3276,2707,19640.59,3.17,46203.9,-57.49,42,29,29
2022-07-18,Google Ads,1.53,51053,7133,3214,1646,31578.84,9.39,6814.56,363.4,52,36,12
2022-07-18,Facebook Ads,0.6,485617,2848,4072,1302,8895.44,7.88,30272.84,-70.62,42,39,19
2022-07-18,Instagram Ads,1.06,294235,1410,3182,2588,15487.74,7.24,6336.6,144.42,45,26,29
2022-07-18,Twitter Ads,2.8,365673,8723,3890,1755,57308.05,1.25,49120.17,16.67,58,38,4
2022-07-18,LinkedIn Ads,0.83,259587,3863,2122,2656,81150.23,11.85,32996.31,145.94,67,30,3
2022-07-18,TikTok Ads,2.91,391272,6212,2675,741,51745.55,5.21,5113.76,911.89,59,48,-7
2022-07-19,Google Ads,1.97,132896,2076,2181,2176,46431.12,1.16,27744.35,67.35,55,28,17
